# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalTimeToSafepointsMs,1772701718628000000,1772701778639000000,5592
JVM.maxHeapBytes,1772701718628000000,1772701778639000000,2147483648
JVM.committedHeapBytes,1772701718628000000,1772701778639000000,1141899264
JVM.usedNativeBytes,1772701718628000000,1772701778639000000,287212984
JVM.usedHeapBytes,1772701718628000000,1772701778639000000,509128600
JVM.threadCount,1772701718628000000,1772701778639000000,132
JVM.GC.collectionTimesMs,1772701718628000000,1772701778639000000,5887
JVM.GC.collections,1772701718628000000,1772701778639000000,13
JVM.totalBytesAllocated,1772701718628000000,1772701778639000000,1507773480
FilePageCache.totalPageDisposalsUs,1772701718628000000,1772701778639000000,201
MappedFileStorage.totalPagesMapped,1772701718628000000,1772701778639000000,13
FilePageCache.pageLoads,1772701718628000000,1772701778639000000,43
FilePageCache.pageFastCacheHits,1772701718628000000,1772701778639000000,100654
FilePageCache.totalPageLoadsUs,1772701718628000000,1772701778639000000,689961
FileChannelInterruptsRetryer.totalRetriedAttempts,1772701718628000000,1772701778639000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772701718628000000,1772701778639000000,597742
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772701718628000000,1772701778639000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772701718628000000,1772701778639000000,0
FilePageCache.pageHits,1772701718628000000,1772701778639000000,0
FilePageCache.maxRegisteredFiles,1772701718628000000,1772701778639000000,533
StreamlinedBlobStorage.recordsRelocated,1772701718628000000,1772701778639000000,0
StorageLockContext.competingThreads.90P,1772701718628000000,1772701778639000000,0
StorageLockContext.competingThreads.max,1772701718628000000,1772701778639000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1772701718628000000,1772701778639000000,0
DirectByteBufferAllocator.reclaimed,1772701718628000000,1772701778639000000,43
FilePageCache.maxCacheSizeInBytes,1772701718628000000,1772701778639000000,228605952
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772701718628000000,1772701778639000000,38797312
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772701718628000000,1772701778639000000,41959424
MappedFileStorage.storages,1772701718628000000,1772701778639000000,13
FilePageCache.capacityInBytes,1772701718628000000,1772701778639000000,629145600
DirectByteBufferAllocator.disposed,1772701718628000000,1772701778639000000,219
FilePageCache.disposedBuffers,1772701718628000000,1772701778639000000,220
DirectByteBufferAllocator.misses,1772701718628000000,1772701778639000000,42
FilePageCache.uncachedFileAccess,1772701718628000000,1772701778639000000,50
StreamlinedBlobStorage.recordsAllocated,1772701718628000000,1772701778639000000,0
DirectByteBufferAllocator.hits,1772701718628000000,1772701778639000000,1
StorageLockContext.competingThreads.avg,1772701718628000000,1772701778639000000,0.0
MappedFileStorage.totalBytesMapped,1772701718628000000,1772701778639000000,190054400
StreamlinedBlobStorage.recordsDeleted,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772701718628000000,1772701778639000000,0
jps.global.handle.before.change.events.ms,1772701718628000000,1772701778639000000,0
jps.library.entities.serializer.load.entities.ms,1772701718628000000,1772701778639000000,0
jps.module.iml.entities.serializer.load.entities.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772701718628000000,1772701778639000000,0
workspaceModel.moduleBridge.before.changed.ms,1772701718628000000,1772701778639000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772701718628000000,1772701778639000000,0
workspaceModel.save.cache.to.file.ms,1772701718628000000,1772701778639000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772701718628000000,1772701778639000000,0
jps.global.get.library.ms,1772701718628000000,1772701778639000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772701718628000000,1772701778639000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772701718628000000,1772701778639000000,0
jps.app.storage.content.writer.save.component.ms,1772701718628000000,1772701778639000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772701718628000000,1772701778639000000,0
workspaceModel.global.updates.ms,1772701718628000000,1772701778639000000,0
jps.app.storage.content.reader.load.component.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772701718628000000,1772701778639000000,0
jps.facet.change.listener.before.change.events.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772701718628000000,1772701778639000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772701718628000000,1772701778639000000,0
jps.global.initialize.library.bridges.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772701718628000000,1772701778639000000,0
jps.library.entities.serializer.save.entities.ms,1772701718628000000,1772701778639000000,0
workspaceModel.global.updates.count,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.instances.count,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772701718628000000,1772701778639000000,0
workspaceModel.moduleBridge.update.option.ms,1772701718628000000,1772701778639000000,0
jps.project.serializers.save.ms,1772701718628000000,1772701778639000000,0
jps.global.initialize.library.bridges.after.loading.ms,1772701718628000000,1772701778639000000,0
jps.storage.jps.conf.reader.load.component.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1772701718628000000,1772701778639000000,0
jps.artifact.entities.serializer.save.entities.ms,1772701718628000000,1772701778639000000,0
jps.project.serializers.load.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772701718628000000,1772701778639000000,0
jps.facet.change.listener.init.bridge.ms,1772701718628000000,1772701778639000000,0
workspaceModel.sync.entities.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772701718628000000,1772701778639000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772701718628000000,1772701778639000000,0
jps.load.initial.state.ms,1772701718628000000,1772701778639000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1772701718628000000,1772701778639000000,0
